,S5INFT Index,S5FINL Index,S5HLTH Index,S5COND Index,S5TELS Index,S5INDU Index,S5CONS Index,S5ENRS Index,S5MATR Index,S5UTIL Index,S5RLST Index
8/12/2022,2634.59,590.24,1556.18,1338.4482,203.52,843.18,783.55,597.7,509.91,388.62,284.97
8/15/2022,2651.08,590.35,1563.79,1346.5985,204.5,845.16,791.8,585.86,509.45,391.78,286.33
8/16/2022,2643.49,594.4,1559.64,1361.277,204.37,848.93,801.36,583.87,512.43,392.84,285.13
8/17/2022,2624.87,591.27,1549.82,1346.018,200.59,842.34,799.49,588.58,505.27,392.25,284.29
8/18/2022,2637.8,592.03,1543.1,1345.504,200.51,845.08,801.52,603.46,506.58,393.59,282.17
8/19/2022,2589.56,580.07,1547.34,1317.255,196.85,834.36,798.74,603.6,497.42,393.39,279.45
8/22/2022,2517.54,567.36,1525.95,1279.801,191.6,818.13,789.91,602.1,489.5,387.98,273.59
8/23/2022,2511.16,565.22,1504.74,1283.911,190.24,819.66,786.33,623.9,494.28,385.54,269.61
8/24/2022,2512.16,568.16,1506.51,1288.6911,190.96,822.33,788.21,631.38,495.49,386.89,271.53
8/25/2022,2554.27,576.78,1523.11,1305.343,194.9,834.87,791.8,636.19,506.7,389.19,275.76
8/26/2022,2444.95,559.28,1480.51,1254.714,187.37,805.58,772.14,629.38,490.81,383.18,268.76
8/29/2022,2413.74,555.03,1470.07,1247.906,185.9,802.04,771.04,639.1,487.44,384.12,266.42
8/30/2022,2387.7,552.68,1460.37,1234.058,184.43,790.2,763.4,617.6,479.11,378.51,262.55
8/31/2022,2364.72,547.82,1451.16,1221.062,184.44,783.36,758.99,611.8,473.3,375.93,261.64
9/1/2022,2353.44,549.81,1475.12,1231.625,186.38,784.43,764.38,597.72,466.75,381.26,262.56
9/2/2022,2323.07,545.25,1453.94,1221.297,182.92,776.67,753.74,608.54,466.33,377.17,258.16
9/6/2022,2307.3,543.68,1454.24,1217.256,180.61,777.89,748.96,601.95,464.8,378.02,260.78
9/7/2022,2344.04,554.68,1478.5,1254.698,184.31,790.56,762.22,595,477.49,389.89,265.79
9/8/2022,2351.97,564.34,1504.72,1265.853,183.5,792.76,760.92,597.95,482.17,389.43,266.34
9/9/2022,2398.39,569.13,1517.2,1289.975,188.14,803,768.24,612.19,489.37,391.06,268.83
9/12/2022,2437.59,574.07,1526.98,1307.327,188.98,807.86,771.41,623.3,493.69,394.81,271.13
9/13/2022,2307.27,552.45,1477,1239.144,178.33,777.27,745.9,608.02,476.21,384.19,260.72
9/14/2022,2317.38,551.08,1477.1,1255.196,178.99,775.84,745.11,625.34,470.37,387.29,257.1
9/15/2022,2262.4,552.81,1485.16,1246.836,177.1,767.56,738.51,609.47,464.08,377.51,251.34
9/16/2022,2251.62,547.46,1481.14,1236.399,176.05,751.77,740.39,596.27,456.82,376.13,251.42
9/19/2022,2270.06,553.57,1473.11,1253.006,176.82,761.79,745.24,596.73,464.26,381.08,250.88
9/20/2022,2258.58,545.52,1456.05,1231.861,173.98,752.38,741.26,592.89,455.45,375.59,244.43
9/21/2022,2222.38,534.02,1431.5,1202.637,169.99,742.32,738.72,584.21,445.45,370.42,240.59
9/22/2022,2200.51,525.13,1438.88,1176.63,170.09,731.27,737.29,581.88,439.91,369,238.32
9/23/2022,2170.76,516.93,1431.15,1149.64,167.08,717.6,724.5,542.61,430.9,364.66,235.22
9/26/2022,2156.27,508.21,1416.72,1147.573,164.89,709.46,724.55,528.64,423.83,355.81,229.04
9/27/2022,2161,506.7,1413.68,1150.92,163.71,707.27,711.81,534.79,424.79,349.75,226.1
9/28/2022,2180.9,516.36,1444.73,1183.209,168.91,723.1,720.27,558.34,435.95,353.59,230.34
9/29/2022,2121.09,509.98,1431.45,1143.25,164.75,709.87,708.45,557.6,429.27,339.19,223.72
9/30/2022,2079.85,504.39,1411.36,1122.313,162.01,700.6,695.78,552.56,427.77,332.52,225.94
10/3/2022,2145.31,518.7,1441.49,1125.044,166.83,722,707.87,584.45,442.32,342.46,230.15
10/4/2022,2216.14,538.36,1475.06,1165.039,171.37,747.2,718.73,609.84,457.98,349.83,233.88
10/5/2022,2224.09,533.71,1479.95,1158.711,170.31,742.89,714.4,622.39,452.98,341.96,229.43
10/6/2022,2205.13,525.95,1460.69,1150.473,169.2,734.78,703.95,633.72,448.36,330.68,222.09
10/7/2022,2113.92,513.66,1429.73,1109.733,164.39,720.66,693.02,629.14,436.96,323.77,216.56
10/10/2022,2080.96,511.19,1420.46,1102.948,163.63,723.01,695.04,616.18,438.03,324.32,213.98
10/11/2022,2049.38,504.56,1428.76,1093.991,160.95,723.1,701.5,611.54,434.81,323.44,216.16
10/12/2022,2042.38,503.18,1421.19,1096.542,160.95,717.22,704.85,616.12,431.31,312.39,213.16
10/13/2022,2106.03,524.01,1453.26,1107.269,164.53,732.98,716.18,641.24,443.87,320.35,217.08
10/14/2022,2045.59,514.7,1441.15,1064.354,161.34,716.63,703.05,617.48,428.72,315.42,211.45
10/17/2022,2108.81,527.96,1466.18,1109.37,166.73,732.72,710.88,625.03,439.62,322.26,219.68
10/18/2022,2126.34,536.64,1474.48,1125.103,167.62,750.01,720.21,629.74,448.03,328.03,222.47
10/19/2022,2120.82,528.08,1454.08,1111.866,167.42,744.84,717.44,648.23,442.96,323.89,216.78
10/20/2022,2122.21,519.73,1442.25,1092.493,168.02,730.61,707.22,649.41,439.86,315.76,215.89
10/21/2022,2178.4,534.91,1474.11,1124.42,169.45,749.96,718.21,667.35,455.08,321.57,217.36
10/24/2022,2208.42,542.12,1502.28,1129.796,170.98,760.09,731.08,670.52,452.24,324.21,217.17
10/25/2022,2251.11,548.53,1514.03,1156.26,175.04,770.33,740.34,670.22,463.67,330.77,225.72
10/26/2022,2200.83,550.14,1530.99,1144.026,166.72,772.98,745.15,679.34,466.76,330.64,225.38
10/27/2022,2173.33,554.25,1522.18,1135.781,159.85,781.82,745.43,681.19,465.53,332.9,225.37
10/28/2022,2271.63,568.03,1547.85,1132.371,164.62,800.42,761.97,685.71,470.3,342.4,230.77
10/31/2022,2241.13,563.91,1546.64,1124.523,161.86,797.71,757.25,689.83,466.12,339.18,230.25
11/1/2022,2221.76,566.21,1547.57,1109.338,158.93,797.24,755.15,696.69,467.22,340.55,229.76
11/2/2022,2144.63,558.94,1521.37,1067.263,154.1,783.19,742.08,681.01,455.2,337.08,223.75
11/3/2022,2080.35,552.97,1514.72,1057.839,149.74,791.34,739.6,694.92,458.73,338.58,223.78
11/4/2022,2115.17,563.29,1523.29,1066.958,152.38,803.92,748.01,701.99,474.35,340.51,226.67
11/7/2022,2149.86,568.37,1539.41,1060.386,155.16,812.48,754.52,714.13,478.09,333.91,226.51
11/8/2022,2169.59,571.7,1547.16,1057.178,155.73,819.46,757.1,714.51,486.12,336.21,227.98
11/9/2022,2112.06,562,1530.84,1024.237,152.77,807.6,748.54,679.63,478.42,333.38,225.5
11/10/2022,2287.95,590.86,1570.5,1103.074,162.43,841.77,766.93,694.74,504.97,349.24,242.96
11/11/2022,2327.4,595.51,1550.4,1130.234,166.45,840.9,765.85,716.02,510.85,345.24,242.7
11/14/2022,2304.92,586.34,1550.94,1110.931,166.01,835.18,758.89,712.28,509.79,340.85,236.28
11/15/2022,2333.42,588.01,1549.85,1124.693,168.96,841.64,767.14,720.16,509.21,344.51,239.2
11/16/2022,2299.69,585.36,1547.86,1108.272,168.01,835.1,770.67,704.68,504.22,347.51,237.17
